# Time (s), Velocity (m/s)
1.683242321014404297e-01,0.000000000000000000e+00
3.240602016448974609e-01,0.000000000000000000e+00
4.858453273773193359e-01,0.000000000000000000e+00
6.439511775970458984e-01,0.000000000000000000e+00
7.968213558197021484e-01,0.000000000000000000e+00
9.551773071289062500e-01,0.000000000000000000e+00
1.116024017333984375e+00,0.000000000000000000e+00
1.277402162551879883e+00,0.000000000000000000e+00
1.439001083374023438e+00,0.000000000000000000e+00
1.593619346618652344e+00,5.970570912677709563e-01
1.754036188125610352e+00,5.970570912677709563e-01
1.907918214797973633e+00,5.970570912677709563e-01
2.069748163223266602e+00,0.000000000000000000e+00
2.230783939361572266e+00,0.000000000000000000e+00
2.386564254760742188e+00,0.000000000000000000e+00
2.542112112045288086e+00,-5.970570912677709563e-01
2.703529357910156250e+00,0.000000000000000000e+00
2.864857196807861328e+00,0.000000000000000000e+00
3.016713380813598633e+00,0.000000000000000000e+00
3.177536964416503906e+00,0.000000000000000000e+00
3.339231967926025391e+00,0.000000000000000000e+00
3.497068166732788086e+00,0.000000000000000000e+00
3.658233165740966797e+00,0.000000000000000000e+00
3.818191051483154297e+00,0.000000000000000000e+00
3.972776174545288086e+00,0.000000000000000000e+00
4.127513170242309570e+00,0.000000000000000000e+00
4.281219005584716797e+00,0.000000000000000000e+00
4.432499170303344727e+00,0.000000000000000000e+00
4.592046022415161133e+00,0.000000000000000000e+00
4.744469404220581055e+00,0.000000000000000000e+00
4.900220155715942383e+00,0.000000000000000000e+00
5.053086280822753906e+00,0.000000000000000000e+00
5.202964305877685547e+00,0.000000000000000000e+00
5.354923009872436523e+00,0.000000000000000000e+00
5.512577056884765625e+00,0.000000000000000000e+00
5.664759159088134766e+00,0.000000000000000000e+00
5.818456172943115234e+00,0.000000000000000000e+00
5.970591306686401367e+00,0.000000000000000000e+00
6.121483087539672852e+00,0.000000000000000000e+00
6.270788192749023438e+00,0.000000000000000000e+00
6.423192024230957031e+00,0.000000000000000000e+00
6.581062078475952148e+00,0.000000000000000000e+00
6.733273029327392578e+00,0.000000000000000000e+00
6.885499238967895508e+00,0.000000000000000000e+00
7.039641141891479492e+00,0.000000000000000000e+00
7.196387052536010742e+00,0.000000000000000000e+00
7.344202280044555664e+00,0.000000000000000000e+00
7.494408130645751953e+00,0.000000000000000000e+00
7.644730091094970703e+00,0.000000000000000000e+00
7.797303199768066406e+00,0.000000000000000000e+00
7.953807115554809570e+00,0.000000000000000000e+00
8.116415262222290039e+00,0.000000000000000000e+00
8.273478269577026367e+00,0.000000000000000000e+00
8.433001279830932617e+00,0.000000000000000000e+00
8.581498146057128906e+00,0.000000000000000000e+00
8.731548309326171875e+00,0.000000000000000000e+00
8.879591226577758789e+00,0.000000000000000000e+00
9.042587280273437500e+00,0.000000000000000000e+00
9.205559015274047852e+00,0.000000000000000000e+00
9.369714260101318359e+00,0.000000000000000000e+00
9.533668041229248047e+00,0.000000000000000000e+00
9.690317153930664062e+00,0.000000000000000000e+00
9.845218181610107422e+00,0.000000000000000000e+00
1.000827813148498535e+01,0.000000000000000000e+00
